🔒 Row ID,Nombre de la Rutina,Ejercicio 1,Ejercicio 2,Ejercicio 3,Ejercicio 4,Ejercico 5,Detalle equipo 1,Detalle equipo 2,Detalle equipo 3 ,detalle equipo 4 ,Detalle equipo 5,instrucciones 1,instruciones 2,instrucciones 3,instrucciones 4,instrucciones 5,Repeticiones 1.0,Repeticiones 2,Repeticiones 2.0,Repeticiones 3,Repeticiones 3.0,Repeticiones 4,Repeticiones 4.0,Repeticiones 5,Repeticiones 5.0,Consejo Pro 1,Consejo Pro 2,Consejo Pro 3,Consejo Pro 4,Consejo Pro 5,Músculos 1,Músculos 2,Músculos 3,Músculos 4,Músculos 5,Ejercicios sistemas,AreaDeTrabajo,Nivel,Enfoque,TodosEjercicioRtuina,TipoDisponibilidad,DiasSemana 1,DiasSemana 2,Dias A Mostrar,Repeticiones 1,Ejercicio 6,Repeticiones 6,Repeticiones 6.0,Músculos 6,RutaMaestría
,Roble Gym: Tren Superior B,Press Inclinado con Mancuernas Pesadas,Remo con Mancuerna Pesada a Una Mano,Press Arnold,Curl de Bíceps con Barra Recta (Cheat Curl estricto),Press Francés con Barra EZ (Pesado),Banco Inclinado,Banco plano,Banco,Barra Recta,Banco + Barra EZ,Empuje inclinado con rango completo.,Tirón unilateral pesado apoyado en banco.,Press rotacional sentado.,"Curl pesado, ligero balanceo controlado.",Extensión de tríceps tumbado.,4 series de 6-8 reps,4 series de 6-8 reps/lado,,4 series de 6-8 reps,,4 series de 6-8 reps,,4 series de 6-8 reps,,Pausa abajo para estirar.,Siente el dorsal jalando.,Baja hasta las clavículas.,La fase excéntrica debe ser lenta.,Lleva la barra a la frente.,Pecho Superior,Dorsales,Deltoides total,Bíceps (Sobrecarga),Tríceps (Cabeza larga),Carga de Hierro,Vigor Corporal,Roble,Tren Superior,,Mas de 3 Dias,Lunes Jueves,Lunes Jueves,Mas de 3 Dias,4 series de 6-8 reps,,,,,
,Roble Gym: Tren Superior C,Press de Banca con Pausa Larga,Dominadas Supinas con Lastre,Face Pull Pesado,Elevaciones Laterales Pesadas (Parciales),Curl Araña con Mancuernas,Banco plano,Cinturón Lastre,Polea,Mancuernas,Banco inclinado,Pausa de 3 segundos en el pecho y explota.,Dominadas agarre inverso pesado.,Tirón a la cara aislando el trapecio/posterior.,Laterales con mucho peso (rango de movimiento parcial).,Acuéstate boca abajo en banco inclinado y haz curl.,4 series de 3-5 reps,4 series de 4-6 reps,,4 series de 8-12 reps,,4 series de 10-15 reps,,4 series de 8-10 reps,,Elimina el reflejo de estiramiento.,Activa el bíceps y dorsal inferior.,Junta escápulas al máximo.,Construye la anchura de los hombros.,"Cero balanceo, puro aislamiento.","Pecho, Potencia desde parado","Dorsales, Bíceps","Trapecio, Deltoides posterior",Deltoides lateral,Bíceps,Carga de Hierro,Vigor Corporal,Roble,Tren Superior,,Mas de 3 Dias,Lunes Jueves,Lunes Jueves,Mas de 3 Dias,4 series de 3-5 reps,,,,,
,Roble Gym: Tren Inferior A,Sentadilla Profunda con Barra (Pesada),Peso Muerto Rumano Pesado,Prensa de Piernas Inclinada,Curl Femoral Tumbado,Elevación de Talones de Pie,Rack + Barra,Barra,Máquina Prensa,Máquina,Máquina,"Barra alta o baja. Baja rompiendo paralelo, sube con fuerza brutal.","Carga pesada, estira los isquios.",Carga máxima en prensa.,Aislamiento excéntrico para isquios.,Talones con peso máximo.,5 series de 2-4 reps,4 series de 4-6 reps,,4 series de 6-8 reps,,4 series de 8-12 reps,,4 series de 12-15 reps,,Mantén la tensión intra-abdominal (Bracing).,"La cadera es la bisagra, no la espalda.",No bloquees las rodillas arriba.,Frena la subida.,Pausa activa arriba y abajo.,"Cuádriceps, Cadena Posterior","Isquiotibiales, Glúteos",Piernas Global,Isquiotibiales,Gemelos,Carga de Hierro,Vigor Corporal,Roble,Tren Inferior,,Mas de 3 Dias,Martes Viernes,Martes Viernes,Mas de 3 Dias,5 series de 2-4 reps,,,,,
,Roble Gym: Tren Inferior B,Peso Muerto Convencional/Sumo (Pesado),Sentadilla Frontal,Sentadilla Búlgara con Barra/Mancuernas Pesadas,Extensión de Cuádriceps,Elevación de Talones Sentado,Barra + Discos,Rack,Banco + Barra/Manc.,Máquina,Máquina,Levanta desde el suelo con técnica impecable.,"Barra apoyada al frente, baja vertical.",Trabajo unilateral pesado apoyado atrás.,Isla el cuádriceps al final.,Sóleo aislado.,5 series de 2-4 reps,4 series de 4-6 reps,,4 series de 6-8 reps/pierna,,4 series de 10-15 reps,,4 series de 15-20 reps,,Tira de la barra hacia ti antes de levantar (sacar el slack).,Codos bien altos.,Busca la fatiga máxima del cuádriceps.,Aprieta fuerte al extender.,Movimiento completo.,Cadena Posterior Global,"Cuádriceps, Core Frontal",Cuádriceps unilateral,Cuádriceps,Sóleo,Carga de Hierro,Vigor Corporal,Roble,Tren Inferior,,Mas de 3 Dias,Martes Viernes,Martes Viernes,Mas de 3 Dias,5 series de 2-4 reps,,,,,
,Roble Gym: Tren Inferior C,Sentadilla Pausada (Pin Squats),Hip Thrust con Barra Pesado,Zancadas Caminando Pesadas,Buenos Días (Good Mornings),Saltos Pliométricos al Cajón con Lastre Ligero,Rack con seguros,Barra + Banco,Mancuernas,Barra,Cajón + Chaleco,"Baja, apoya la barra en los pines 2 segundos y sube sin inercia.",Puente de glúteo con peso máximo en cadera.,Zancadas largas con mancuernas pesadas.,Inclinación frontal con barra en la espalda.,Salto reactivo con un poco de lastre.,4 series de 3-5 reps,4 series de 4-6 reps,,4 series de 10 pasos/pierna,,4 series de 6-8 reps,,4 series de 5 saltos,,"Elimina el impulso, pura fuerza desde cero.",Sostén la contracción 1 seg.,Muerte metabólica y mecánica.,Mantén los lumbares firmes.,Agilidad tras carga pesada.,"Fuerza de arranque, Cuádriceps",Glúteo Mayor,Piernas Global,"Espalda baja, Isquios",Potencia,Carga de Hierro,Vigor Corporal,Roble,Tren Inferior,,Mas de 3 Dias,Martes Viernes,Martes Viernes,Mas de 3 Dias,4 series de 3-5 reps,,,,,
,Roble Gym: Cuerpo Completo A,Sentadilla Profunda con Barra,Press de Banca Plano,Dominadas Lastradas,Peso Muerto Rumano,Press Militar,Rack,Banco,Cinturón,Barra,Barra,El rey del tren inferior.,El rey del empuje horizontal.,El rey de la tracción vertical.,Cadena posterior accesoria.,Empuje vertical.,4 series de 3-5 reps,4 series de 3-5 reps,,4 series de 4-6 reps,,3 series de 6-8 reps,,3 series de 6-8 reps,,Foco absoluto en los grandes levantamientos.,Ancla los pies.,Pasa la barbilla.,Cuidado lumbar.,No dobles rodillas.,Piernas,Pecho,Espalda,Isquiotibiales,Hombros,Carga de Hierro,Vigor Corporal,Roble,Cuerpo Completo,,3 Dias,Lunes Viernes,Miercoles,3 Dias,4 series de 3-5 reps,,,,,
,Roble Gym: Cuerpo Completo B,Peso Muerto Convencional,Fondos en Paralelas Pesados,Sentadilla Frontal,Remo con Barra Pendlay,Elevaciones Laterales,Barra,Paralelas,Rack,Barra,Mancuernas,Levante pesado.,Fondo lastrado avanzado.,Sentadilla vertical.,Remo desde el piso.,Aislamiento hombro.,4 series de 2-4 reps,4 series de 4-6 reps,,4 series de 4-6 reps,,4 series de 5-8 reps,,4 series de 10-12 reps,,Tracciona duro.,Inclinación frontal.,Codos arriba.,Tirón explosivo.,Vuelo lateral puro.,Cadena Posterior,Pecho inferior,Cuádriceps,Espalda media,Hombros,Carga de Hierro,Vigor Corporal,Roble,Cuerpo Completo,,3 Dias,Miercoles,Lunes Viernes,3 Dias,4 series de 2-4 reps,,,,,
,Roble Gym: Cuerpo Completo C,Sentadilla Pausada,Press Inclinado con Mancuernas,Hip Thrust con Barra,Remo con Mancuerna a Una Mano,Curl de Bíceps,Rack,Banco Inclinado,Barra + Banco,Mancuernas,Barra EZ,Pausa abajo.,Pecho superior pesado.,Glúteo pesado.,Dorsal pesado.,Bíceps.,4 series de 4-6 reps,4 series de 6-8 reps,,4 series de 5-8 reps,,4 series de 6-8 reps,,4 series de 8-10 reps,,Pura fuerza estática.,Junta mancuernas.,Máximo apretón.,Siente el dorsal.,Aísla.,Cuádriceps,Pecho,Glúteo,Dorsal,Bíceps,Carga de Hierro,Vigor Corporal,Roble,Cuerpo Completo,,3 Dias,,,3 Dias,4 series de 4-6 reps,,,,,
,Roble Híbrido: Tren Superior A,Press de Banca Plano (Pesado),Muscle-ups Estrictos,Dominadas a Una Mano (Negativas/Asistidas),Press Militar con Barra,Front Lever Hold,Banco + Barra,Barra de dominadas,Barra de dominadas,Barra,Barra de dominadas,Fuerza máxima en empuje horizontal.,Transición técnica y poder puro de calistenia.,Tracción unilateral extrema.,Fuerza de hombros bruta.,Tensión estática del core y dorsal.,5 series de 2-4 reps,4 series de 3-5 reps,,4 series de 3-5 reps/brazo,,4 series de 4-6 reps,,4 series de 10-15 seg,,"Tras el banco, el muscle up te retará el tríceps.",Fluidez y no kipping.,Baja frenando como si tu vida dependiera de ello.,Core bloqueado.,Escápulas abajo y juntas.,"Pecho, Tríceps (Fuerza)",Tracción/Empuje (Técnica),Dorsal Unilateral,Hombros,"Core, Dorsales", Método Híbrido V&V,Vigor Corporal,Roble,Tren Superior,,Mas de 3 Dias,Lunes Jueves,Lunes Jueves,Mas de 3 Dias,5 series de 2-4 reps,,,,,
,Roble Híbrido: Tren Superior B,Handstand Push-ups Estrictos,Remo con Barra Pendlay (Pesado),Tuck Planche Push-ups,Curl de Bíceps con Barra Recta,L-Sit en Paralelas,Pared o Libre,Barra,Barras Paralelas de Madera Veta & Vigor,Barra Recta,Barras Paralelas de Madera Veta & Vigor,Dominio del peso corporal vertical.,Fuerza de tracción explosiva.,Empuje horizontal biomecánico avanzado.,Hipertrofia clásica.,Core estático calisténico.,4 series de 4-6 reps,5 series de 4-6 reps,,4 series de 5-8 reps,,4 series de 8-10 reps,,4 series de 20-30 seg,,La fatiga del HSPU afecta la plancha posterior.,Tira desde el piso en cada rep.,Inclina el peso hacia el frente todo el tiempo.,No balancees la espalda.,Traba rodillas y pies en punta.,Hombros (Vertical),Espalda (Potencia),"Pecho, Hombro Frontal",Bíceps,"Core, Flexores", Método Híbrido V&V,Vigor Corporal,Roble,Tren Superior,,Mas de 3 Dias,Lunes Jueves,Lunes Jueves,Mas de 3 Dias,4 series de 4-6 reps,,,,,
,Roble Híbrido: Tren Superior C,Dominadas con Lastre (Pesadas),Fondos en Paralelas con Lastre (Pesados),One Arm Push-ups,Face Pull en Polea,Human Flag (Holds),Cinturón Lastre,Barras Paralelas de Madera Veta & Vigor + Lastre,Suelo,Polea,Poste vertical,Tracción vertical con sobrecarga máxima.,Empuje profundo con sobrecarga. Aprovecha el agarre de la madera para estabilizar la muñeca.,Empuje asimétrico calisténico.,Salud de hombro posterior.,Isometría oblicua.,4 series de 3-5 reps,4 series de 4-6 reps,,4 series de 5-8 reps/brazo,,4 series de 10-15 reps,,4 series de 10-15 seg/lado,,Tracciona duro y explosivo.,Cuidado con bajar excesivamente si tienes molestia articular.,Baja abriendo las piernas si cuesta.,Jala a los ojos.,El brazo de abajo empuja a muerte.,Dorsales,"Pecho Inferior, Tríceps","Pecho, Tríceps, Core",Trapecio,Core lateral, Método Híbrido V&V,Vigor Corporal,Roble,Tren Superior,,Mas de 3 Dias,Lunes Jueves,Lunes Jueves,Mas de 3 Dias,4 series de 3-5 reps,,,,,
,Roble Híbrido: Tren Inferior A,Sentadilla Profunda con Barra (Pesada),Pistol Squat Libre Estricta,Peso Muerto Rumano,Curl Nórdico Completo,Elevación de Talón Pesada,Rack,Suelo,Barra,Soporte pies,Máquina,Sentadilla pesada base.,Sentadilla unilateral de alta demanda técnica.,Estiramiento isquio bajo carga.,Fuerza isquiosural pura con peso corporal.,Sóleo y gemelos pesados.,5 series de 2-4 reps,3 series de 5-8 reps/pierna,,4 series de 5-8 reps,,4 series de 3-5 reps,,4 series de 12-15 reps,,Sobrecarga mecánica.,"Tras la barra, tu CNS estará fatigado, mantén la concentración.",Mantén la espalda bloqueada.,"Aíslate en el curl nórdico, sin rebotar.",Ardor total.,Cuádriceps,"Cuádriceps, Equilibrio",Isquios,Isquios,Gemelos, Método Híbrido V&V,Vigor Corporal,Roble,Tren Inferior,,Mas de 3 Dias,Martes Viernes,Martes Viernes,Mas de 3 Dias,5 series de 2-4 reps,,,,,
,Roble Híbrido: Tren Inferior B,Peso Muerto Convencional (Pesado),Shrimp Squat Avanzada,Sentadilla Búlgara con Mancuernas,Salto al Cajón Pliométrico a Una Pierna,Wall Sit Lastrado a Una Pierna,Barra,Suelo,Banco + Mancuernas,Cajón alto,Pared + Disco,Tirón pesado central.,Trabajo unilateral técnico.,Hipertrofia de apoyo unilateral.,Reactividad post-fatiga.,Isometría unilateral con disco en pierna.,5 series de 2-4 reps,4 series de 5-8 reps/pierna,,4 series de 6-8 reps/pierna,,4 series de 4-6 saltos/pierna,,4 series de 30-45 seg,,Agarre mixto o hook grip.,Usa colchón para la rodilla trasera.,Baja recto como ascensor.,Baja del cajón con los dos pies.,Soporta el ácido láctico.,Cadena Posterior,Cuádriceps,"Glúteo, Cuádriceps",Potencia,Isometría, Método Híbrido V&V,Vigor Corporal,Roble,Tren Inferior,,Mas de 3 Dias,Martes Viernes,Martes Viernes,Mas de 3 Dias,5 series de 2-4 reps,,,,,
,Roble Híbrido: Tren Inferior C,Sentadilla Frontal con Barra,Pistol Squat con Salto,Hip Thrust con Barra Pesado,Glute Ham Raise (Suelo),Zancadas Pliométricas Alternadas,Rack,Suelo,Barra + Banco,Soporte pies,Suelo,Carga anterior y cuádriceps.,Potencia unilateral pura.,Fuerza extrema de glúteo.,Isquio peso corporal.,Cierre metabólico.,4 series de 4-6 reps,4 series de 4-6 reps/pierna,,4 series de 4-6 reps,,4 series de 6-8 reps,,4 series de 10-15 saltos/pierna,,Codos siempre arriba.,Aterrizaje controlado.,Aprieta 2 seg arriba.,Extensión total de cadera.,No te detengas hasta el final.,Cuádriceps,Potencia,Glúteo,Isquiotibiales,Piernas Global, Método Híbrido V&V,Vigor Corporal,Roble,Tren Inferior,,Mas de 3 Dias,Martes Viernes,Martes Viernes,Mas de 3 Dias,4 series de 4-6 reps,,,,,
