Ejercicios,Nivel,Equipo,Instrucciones,Consejo Pro,Repeticiones/Tiempo,Video Ejemplo,Musculos
Flexiones Neutras (en paralelas),Semilla,Barras Paralelas bajas,"Manos en las barras, cuerpo recto como tabla. Baja el pecho hasta el nivel de las barras.","Mantén los codos hacia atrás (forma de flecha), no hacia afuera (forma de T).",3 series de 8-12 reps,video,"Pecho, Tríceps, Deltoides frontal."
Flexiones en Paralelas (rango completo),Pino,Barras Paralelas bajas,Manos en las barras en posición de plancha. Baja el pecho por debajo del nivel de las barras aprovechando el rango extra que dan las paralelas. Sube con fuerza.,Baja lento (3 segundos) y sube explosivo. El rango extra activa más fibras del pecho.,4 series de 8-12 reps,video,"Pectorales, Tríceps, Deltoides"
Flexiones en Pared,Semilla ,Muro,"De pie frente a una pared, apoya las manos a la altura de los hombros. Inclina el cuerpo, baja el pecho y empuja.","Cuanto más alejes los pies de la pared, más difícil será.",3 series de 8-12 reps,Video,"Pectorales, Tríceps, Deltoides"
Flexiones en Rodillas,Semilla,N/A,Apoya las manos a la anchura de los hombros y las rodillas en el piso. Baja el pecho hasta casi tocar el suelo manteniendo el cuerpo alineado desde rodillas hasta cabeza. Empuja para subir.,Mantén los codos en forma de flecha hacia atrás y no hacia afuera. Aprieta el abdomen en todo momento.,3 series de 8-12 reps,video,"Pectorales, Tríceps, Deltoides"
Fondos Asistidos (pies en suelo),Semilla,Barras Paralelas bajas,Sujeta las barras y mantén los pies apoyados en el suelo con las rodillas flexionadas. Baja el cuerpo doblando los codos hasta que los brazos formen 90 grados y sube empujando con fuerza.,Usa los pies solo como apoyo. Intenta cargar cada vez más peso en los brazos conforme ganes fuerza.,3 series de 8-10 reps,video,"Tríceps, Pecho inferior, Deltoides"
Fondos Profundos en Paralelas,Pino,Barras Paralelas bajas,Sujeta las barras con brazos extendidos. Baja el cuerpo doblando los codos hasta que los hombros queden por debajo de los codos. Empuja para subir.,Inclina el torso ligeramente al frente para más activación de pecho. Si sientes dolor en el hombro no bajes tanto.,4 series de 6-10 reps,video,"Pecho, Tríceps, Deltoides frontal"
Fondos de Tríceps,Semilla,Paralelas Bajas,"Pies estirados al frente, manos en barras. Baja la cadera doblando codos y sube.",No bajes demasiado si sientes tensión en el frente del hombro. El control es clave.,3 series de 10 reps,,"Tríceps, Pecho inferior."
Fondos de Tríceps (en paralelas),Semilla,Barras Paralelas bajas,Sujeta las barras con los brazos extendidos. Pies estirados al frente apoyados en el suelo. Baja la cadera doblando los codos hacia atrás y empuja para subir.,No bajes demasiado si sientes tensión en el hombro frontal. Mantén los codos apuntando hacia atrás.,3 series de 10 reps,video,"Tríceps, Pecho inferior"
Fondos en Paralelas,Pino,Barras Paralelas bajas,Sujeta las barras con los brazos extendidos y las piernas estiradas al frente o cruzadas. Baja doblando los codos hasta 90 grados y empuja para subir.,Mantén los codos apuntando hacia atrás. Controla la bajada sin dejarte caer.,4 series de 8-12 reps,video,"Tríceps, Pecho inferior, Deltoides"
Hip Thrust a Una Pierna (en silla),Pino,Silla,Siéntate en el suelo con la espalda alta apoyada en una silla. Un pie en el suelo y la otra pierna extendida. Empuja la cadera hacia arriba con la pierna apoyada.,Aprieta el glúteo arriba y mantén la cadera nivelada. Baja con control sin tocar el suelo.,4 series de 10 reps por pierna,video,"Glúteos, Isquiotibiales, Core"
L-Sit (piernas extendidas),Pino,Barras Paralelas bajas,Siéntate entre las barras con manos en las barras y brazos rectos. Levanta la cadera y extiende las piernas completamente al frente formando una L.,Empuja las barras hacia abajo con fuerza. Activa los cuádriceps para mantener las piernas rectas y arriba.,4 series de 10-20 seg,video,"Abdominales, Flexores de cadera, Tríceps"
L-Sit Asistido,Semilla,Paralelas Bajas,"Siéntate entre las barras, brazos estirados, talones apoyados adelante. Eleva la cadera.","Bloquea los codos por completo. Si tus hombros suben a las orejas, estás fallando",3 series de 15-20 seg,,"Abdominales, Tríceps, Flexores de cadera."
L-Sit Asistido (rodillas flexionadas),Semilla,Barras Paralelas bajas,Siéntate entre las barras con las manos en las barras y los brazos rectos. Levanta la cadera del suelo con las rodillas flexionadas hacia el pecho.,Bloquea los codos y empuja las barras hacia abajo con fuerza. Mantén los hombros lejos de las orejas.,3 series de 15-20 seg,video,"Abdominales, Tríceps, Flexores de cadera"
Peso Muerto Rumano a Una Pierna,Pino,N/A,De pie sobre una pierna con rodilla ligeramente flexionada. Inclina el torso hacia adelante con la espalda recta mientras la pierna libre se extiende atrás. Regresa apretando glúteo e isquiotibial.,Siente el estiramiento en el isquiotibial de la pierna de apoyo. No redondees la espalda.,4 series de 8-10 reps por pierna,video,"Isquiotibiales, Glúteos, Core"
Peso Muerto a Una Pierna (sin peso),Semilla,N/A,De pie sobre una pierna. Inclina el torso hacia adelante mientras la pierna libre se extiende hacia atrás. Baja hasta que el torso quede paralelo al suelo y sube con control.,Mantén la espalda recta en todo momento. Mira un punto fijo en el suelo para mejor equilibrio.,3 series de 8 reps por pierna,video,"Isquiotibiales, Glúteos, Core"
Pike Push-ups (en paralelas),Pino,Barras Paralelas bajas,Manos en las barras en posición de plancha. Sube la cadera formando una V invertida. Baja la cabeza entre las barras doblando los codos y empuja para subir.,Cuanto más cerca estén los pies de las manos más difícil será. Mira hacia las barras al bajar.,4 series de 6-10 reps,video,"Deltoides, Tríceps, Trapecio"
Pike Push-ups Elevados,Pino,Barras Paralelas bajas + silla,Manos en las barras y pies elevados sobre una silla. Sube la cadera formando una V invertida pronunciada. Baja la cabeza entre las barras y empuja.,La elevación de pies aumenta la carga en los hombros. Excelente preparación para handstand push-ups.,4 series de 5-8 reps,video,"Deltoides, Tríceps, Trapecio superior"
Pistol Squat Asistida (con liga),Pino,Barra para Ligas + Banda,Sujeta una liga atada a la barra a la altura del pecho. Extiende una pierna al frente y baja con la otra haciendo sentadilla completa. Usa la liga para asistir la subida.,La liga ayuda en la parte más difícil (abajo). Conforme ganes fuerza usa ligas más delgadas.,4 series de 4-6 reps por pierna,video,"Cuádriceps, Glúteos, Core"
Plancha,Semilla,Paralelas Bajas,Sujeta las barras y mantén el cuerpo alineado. Aprieta glúteos y abdomen.,No dejes que la zona lumbar se cuelgue. Mete la pelvis ligeramente (retroversión).,3 series de 30-45 seg,,"Core (todo el abdomen), Hombros."
Plancha Inclinada,Pino,"Barra baja, borde silla o cama",Apoya las manos en la barra baja en posición de flexión. Mantén el cuerpo en línea recta y aprieta el abdomen con fuerza sin dejar que la cadera caiga.,Imagina que quieres llevar el ombligo hacia tu columna para activar bien el core.,3 series de 30-45 seg,video,Abdomen (Core) y Hombros
Plancha Inclinada (manos en paralelas),Semilla,Barras Paralelas bajas,Sujeta las barras con las manos y extiende el cuerpo en posición de plancha. Mantén el abdomen apretado y el cuerpo en línea recta desde la cabeza hasta los talones.,Empuja las barras con fuerza activando el serrato. No dejes que la cadera caiga ni se suba.,3 series de 30-45 seg,video,"Core (Abdomen), Hombros, Serrato"
Plancha en Rodillas,Semilla,N/A,Apoya las manos en el suelo a la anchura de los hombros y las rodillas en el piso. Mantén el cuerpo en línea recta desde la cabeza hasta las rodillas apretando abdomen y glúteos.,No dejes que la cadera se hunda ni se suba. Imagina que tu cuerpo es una tabla desde las rodillas hasta la cabeza.,3 series de 20-30 seg,video,"Core (Abdomen), Hombros"
Press de Hombro con Liga,Semilla,Barra para Ligas + Banda,Pisa la liga con ambos pies a la anchura de los hombros. Sujeta los extremos a la altura de los hombros con las palmas al frente. Empuja hacia arriba extendiendo los brazos y baja con control.,No arquees la espalda al empujar. Aprieta el abdomen para proteger la zona lumbar.,3 series de 10-12 reps,video,"Deltoides, Tríceps"
Press de Hombro con Liga (de pie),Pino,Barra para Ligas + Banda,De pie pisando la liga. Sujeta los extremos a la altura de los hombros. Empuja hacia arriba extendiendo completamente los brazos y baja con control hasta los hombros.,Aprieta el abdomen para no arquear la espalda. Extiende completamente los brazos arriba.,4 series de 8-12 reps,video,"Deltoides, Tríceps, Trapecio"
Puente de Glúteo,Semilla,N/A,Acuéstate boca arriba con las rodillas flexionadas y los pies apoyados en el suelo. Empuja la cadera hacia arriba apretando los glúteos con fuerza y baja con control.,Aprieta los glúteos arriba durante 2 segundos antes de bajar. No arquees la espalda baja.,3 series de 12-15 reps,video,"Glúteos, Isquiotibiales"
Puente de Glúteo Elevado (pies en silla),Pino,Silla,Acuéstate boca arriba con los pies apoyados sobre una silla. Empuja la cadera hacia arriba apretando los glúteos con fuerza. Baja con control.,La elevación de pies aumenta el rango de movimiento y la dificultad. Aprieta 2 segundos arriba.,4 series de 12-15 reps,video,"Glúteos, Isquiotibiales"
Puente de Glúteo a Una Pierna,Semilla,N/A,Acuéstate boca arriba con una rodilla flexionada y el pie en el suelo. Extiende la otra pierna hacia arriba. Empuja la cadera hacia arriba con la pierna apoyada.,Aprieta el glúteo arriba y mantén la cadera nivelada. No dejes que la cadera se incline hacia un lado.,3 series de 10 reps por pierna,video,"Glúteos, Isquiotibiales, Core"
Remo Sentado con Liga,Pino,Liga,Siéntate en el suelo piernas extendidas al frente. Pasa la liga por la planta de tus pies y sujeta los extremos. Tira hacia tu ombligo llevando los codos atrás y apretando la espalda.,Mantén la espalda erguida y saca pecho. No permitas que la liga te encorve al regresar.,4 series de 8-12 reps,video,Espalda (Dorsales) y Brazos (Bíceps)
Remo con Liga (agarre amplio),Pino,Liga,Siéntate con las piernas extendidas al frente. Pasa la liga por la planta de tus pies y sujeta los extremos con agarre amplio y palmas hacia abajo. Tira hacia el pecho abriendo los codos.,Aprieta los omóplatos al final. El agarre amplio enfatiza más la espalda alta y el deltoides posterior.,4 series de 10-12 reps,video,"Trapecio, Deltoides posterior, Romboides"
Remo con Liga (agarre cerrado),Pino,Liga,"Siéntate con las piernas extendidas al  frente , pasa la liga por la plata de tus pies  y sujeta ambos extremos de la liga juntos con las dos manos. Tira hacia el ombligo con los codos muy pegados al cuerpo.",Aprieta fuerte la espalda al final del movimiento. El agarre cerrado enfatiza más los dorsales y bíceps.,4 series de 10-12 reps,video,"Dorsales, Bíceps, Romboides"
Remo con Liga (agarre neutro),Semilla,Liga,"Sentado con las piernas extendida al frente, pasa la liga por la planta de tus pies y sujeta los extremos con las palmas viéndose entre sí. Tira hacia tu ombligo llevando los codos pegados al cuerpo y apretando la espalda.",Saca pecho al tirar y controla el regreso. No dejes que la liga te jale de golpe.,3 series de 10-12 reps,video,"Espalda (Dorsales), Bíceps, Romboides"
Remo con Liga (agarre prono),Semilla,Liga,Siéntate con las piernas extendidas al frente. Pasa la liga por la planta de tus pies y sujeta los extremos con las palmas hacia abajo. Tira hacia tu ombligo apretando bíceps y espalda.,Aprieta los omóplatos al final del movimiento. Controla la fase de regreso sin dejarte jalar.,3 series de 10-12 reps,video,"Trapecio, Deltoides posterior, Romboides"
Remo con Liga (agarre supino),Semilla,Liga,Siéntate con las piernas extendidas al frente. Pasa la liga por la planta de tus pies y sujeta los extremos con las palmas hacia arriba. Tira hacia tu ombligo apretando bíceps y espalda.,Enfoca la contracción en los bíceps y la espalda baja. Mantén la espalda erguida durante todo el movimiento.,3 series de 10-12 reps,video,"Bíceps, Espalda (Dorsales)"
Salto al Cajón (en silla firme),Pino,Silla firme y estable,De pie frente a una silla estable. Flexiona rodillas y salta aterrizando con ambos pies sobre la silla. Baja con cuidado paso a paso.,Asegúrate de que la silla sea muy estable. Aterriza suave con las rodillas flexionadas. Baja caminando no saltando.,4 series de 6-8 reps,video,"Cuádriceps, Glúteos, Pantorrillas"
Sentadilla Búlgara,Pino,Silla o superficie elevada,Coloca el empeine de un pie sobre una silla detrás de ti. Baja flexionando la rodilla delantera hasta que el muslo quede paralelo al suelo. Sube con fuerza.,Mantén el torso erguido. Puedes inclinar ligeramente el torso para más activación de glúteo.,4 series de 8-10 reps por pierna,video,"Cuádriceps, Glúteos, Isquiotibiales"
Sentadilla Búlgara Asistida,Semilla,Silla o superficie elevada,Coloca el empeine de un pie sobre una silla detrás de ti. Baja flexionando la rodilla delantera hasta que el muslo quede paralelo al suelo. Apóyate en la pared si necesitas equilibrio.,Mantén el torso erguido y la rodilla delantera alineada con el pie. La pierna trasera solo sirve de apoyo.,3 series de 8 reps por pierna,video,"Cuádriceps, Glúteos"
Sentadilla Cosaca,Pino,N/A,Pies muy abiertos. Baja hacia un lado flexionando una rodilla mientras la otra pierna se extiende recta con el pie apuntando arriba. Sube y alterna.,Mantén el talón pegado al suelo y el torso erguido. Si puedes baja hasta que el glúteo toque el talón.,4 series de 6-8 reps por pierna,video,"Aductores, Cuádriceps, Glúteos"
Sentadilla Cosaca Asistida,Semilla,Muro o poste para sujetarse,Pies muy abiertos. Baja hacia un lado flexionando una rodilla mientras la otra pierna se extiende recta. Sujétate de la pared o un poste para mantener el equilibrio.,Mantén el talón de la pierna que se flexiona pegado al suelo. Ve bajando más conforme ganes flexibilidad.,3 series de 6-8 reps por pierna,video,"Aductores, Cuádriceps, Glúteos"
Sentadilla Normal,Semilla,N/A,"Pies a la anchura de los hombros. Baja la cadera como si fueras a sentarte en una silla, manteniendo la espalda recta y el peso en los talones. Sube con fuerza.",Mantén la mirada al frente y asegúrate de que tus rodillas no se cierren hacia adentro al subir y vayan en direncion a tus pies,4 series de 8-12 reps,video,Piernas (Cuádriceps) y Glúteos
Sentadilla Sissy Asistida,Pino,Muro o poste para sujetarse,De pie sujetándote de la pared. Inclínate hacia atrás flexionando las rodillas mientras te pones de puntillas. Baja las rodillas hacia adelante y sube con control.,Mantén la cadera extendida (no te sientes). Siente el estiramiento profundo en los cuádriceps.,4 series de 6-8 reps,video,"Cuádriceps, Recto femoral"
Sentadilla Sumo,Semilla,N/A,Pies más abiertos que los hombros con las puntas hacia afuera. Baja la cadera manteniendo la espalda recta y las rodillas en dirección a los pies. Sube apretando glúteos.,Saca pecho y mantén el peso distribuido en toda la planta del pie. Baja hasta que los muslos queden paralelos al suelo.,3 series de 10-12 reps,video,"Aductores, Glúteos, Cuádriceps"
Sentadilla con Pausa,Semilla,N/A,Realiza una sentadilla normal pero mantén la posición baja durante 3 segundos antes de subir. Mantén la espalda recta y el abdomen apretado.,La pausa elimina el impulso y obliga al músculo a trabajar más. No rebotes al subir.,3 series de 8-10 reps,video,"Cuádriceps, Glúteos"
Sentadilla con Salto,Pino,N/A,Realiza una sentadilla normal y al subir explota saltando lo más alto posible. Aterriza suave con las rodillas ligeramente flexionadas y repite.,Aterriza siempre con la punta de los pies primero y luego los talones. Amortigua bien cada salto.,4 series de 8-10 reps,video,"Cuádriceps, Glúteos, Pantorrillas"
Step-Up (en silla baja),Semilla,Silla baja o escalón,Coloca un pie sobre la silla y empuja con esa pierna para subir todo el cuerpo. Baja con control con la otra pierna.,Empuja solo con la pierna de arriba sin impulsarte con la de abajo. Mantén el torso erguido.,3 series de 10 reps por pierna,video,"Cuádriceps, Glúteos"
Step-Up Alto (en silla),Pino,Silla firme,Coloca un pie sobre una silla firme y alta. Empuja con esa pierna para subir todo el cuerpo sin impulsarte con la pierna de abajo. Baja con control.,La silla debe ser estable. Empuja solo con la pierna de arriba. Mantén el torso recto.,4 series de 8-10 reps por pierna,video,"Cuádriceps, Glúteos"
Wall Sit (sentadilla en pared),Semilla,Muro,Apoya la espalda contra la pared y baja hasta que tus muslos queden paralelos al suelo formando 90 grados con las rodillas. Mantén la posición.,Empuja la espalda baja contra la pared. No apoyes las manos en los muslos.,3 series de 30-45 seg,video,"Cuádriceps, Glúteos"
Wall Sit con Una Pierna,Pino,Muro,Apoya la espalda contra la pared en posición de sentadilla a 90 grados. Levanta un pie del suelo y mantén la posición solo con una pierna.,Aprieta el cuádriceps con fuerza. Si es muy difícil empieza con ángulo mayor a 90 grados.,4 series de 15-25 seg por pierna,video,"Cuádriceps, Glúteos, Core"
Zancada Búlgara con Pausa,Pino,Silla o superficie elevada,Igual que la sentadilla búlgara pero mantén la posición baja durante 3 segundos antes de subir. El pie trasero apoyado en la silla.,La pausa elimina el impulso y obliga al músculo a trabajar más. Mantén la tensión constante.,4 series de 6-8 reps por pierna,video,"Cuádriceps, Glúteos, Isquiotibiales"
Zancada Caminando,Semilla,N/A,Da un paso largo al frente y baja la rodilla trasera casi al suelo. Empuja con la pierna delantera y avanza con la otra pierna repitiendo el movimiento.,Mantén el torso recto y la mirada al frente. Cada paso debe ser controlado sin perder el equilibrio.,3 series de 10 pasos por pierna,video,"Cuádriceps, Glúteos, Isquiotibiales"
Zancada Lateral,Semilla,N/A,De pie con los pies juntos. Da un paso amplio hacia un lado flexionando esa rodilla mientras la otra pierna queda extendida. Empuja para regresar al centro.,Mantén el peso en el talón de la pierna que se flexiona. No dejes que la rodilla pase la punta del pie.,3 series de 10 reps por lado,video,"Aductores, Cuádriceps, Glúteos"
Zancada Reversa,Semilla,N/A,De pie con los pies juntos. Da un paso largo hacia atrás con una pierna y baja la rodilla trasera casi hasta el suelo. Empuja con la pierna delantera para volver a la posición inicial.,Mantén el torso erguido y la rodilla delantera alineada con el tobillo. No dejes que la rodilla pase la punta del pie.,3 series de 10 reps por pierna,video,"Cuádriceps, Glúteos, Isquiotibiales"
Zancada con Salto Alternada,Pino,N/A,En posición de zancada baja salta explosivamente intercambiando las piernas en el aire. Aterriza suave en posición de zancada con la otra pierna al frente.,Aterriza con control. Usa los brazos para impulsar el salto. Mantén el torso erguido.,4 series de 8 reps por pierna,video,"Cuádriceps, Glúteos, Pantorrillas"
Press de Banca con Barra,Semilla Gym,Banco plano + Barra,"Acuestate en el banco plano con los pies
  firmes en el suelo. Agarra la barra a la anchura de los hombros. Baja la
  barra hasta tocar el pecho y empuja hacia arriba hasta extender los brazos.","Retrae las escapulas y saca pecho antes de
  desenganchar la barra. No rebotes en el pecho.",4 series de 8-10 reps,video,"Pectorales, Tricceps, Deltoides frontal"
Remo con Mancuerna,Semilla Gym,Banco plano + Mancuerna,"Apoya una rodilla y una mano en el banco. Con la otra mano sujeta la
  mancuerna y tira hacia la cadera llevando el codo hacia atras. Baja con
  control.",Aprieta la espalda arriba durante 1 segundo. No gires el torso al tirar.,4 series de 10-12 reps por lado,video,"Dorsales, Romboides, Bicceps"
"Press Militar con Mancuernas
",Semilla Gym,Banco a 90° + Mancuernas,"Sientate en el banco con respaldo vertical. Sube las mancuernas a la
  altura de los hombros con las palmas al frente. Empuja hacia arriba hasta
  extender los brazos y baja con control.","No arquees la espalda baja. Aprieta el abdomen durante todo el
  movimiento.",4 series de 8-10 reps,video,"Deltoides, Triceps, Trapecio"
Curl de Biceps con Mancuernas,Semilla Gym,Mancuernas,"De pie con una mancuerna en cada mano y los brazos extendidos. Flexiona
  los codos subiendo las mancuernas hacia los hombros. Baja con control sin
  balancear el cuerpo.",Manten los codos pegados al torso. No uses impulso con la espalda.,3 series de 10-12 reps,video,Biceps
Extensión de Triceps en Polea,Semilla Gym,Polea alta + Barra recta,"De pie frente a la polea alta. Sujeta la barra con las palmas hacia
  abajo. Extiende los brazos empujando hacia abajo hasta bloquear los codos.
  Regresa con control.",Manten los codos pegados al cuerpo y fijos. Solo mueve los antebrazos.,3 series de 10-12 reps,video,Triceps
Press Inclinado con Mancuernas,Semilla Gym,Banco inclinado 30-45° + Mancuernas,"Acuestate en el banco inclinado. Sube las mancuernas a la altura del
  pecho con los codos abiertos. Empuja hacia arriba juntando ligeramente las
  mancuernas arriba. Baja con control.","Manten las escapulas retraidas. El angulo de 30° activa mas pecho
  superior sin sobrecargar el hombro.",4 series de 8-10 reps,video,"Pecho superior, Triceps, Deltoides frontal"
Jalón al Pecho en Polea,Semilla Gym,Polea alta + Barra ancha,"Sientate en la maquina de jalón con los muslos fijos bajo los cojines.
  Agarra la barra ancha con las palmas al frente. Tira hacia el pecho superior
  llevando los codos hacia abajo y atras.","Saca pecho al tirar. No te inclines demasiado hacia atras. Controla el
  regreso.",4 series de 10-12 reps,video,"Dorsales, Biceps, Romboides"
Elevaciones Laterales con Mancuernas,Semilla Gym,Mancuernas,"De pie con una mancuerna en cada mano a los lados. Sube los brazos
  lateralmente hasta la altura de los hombros manteniendo una ligera flexion de
  codos. Baja con control.","Usa peso ligero y control. Imagina que viertes agua de una jarra al
  subir.",3 series de 12-15 reps,video,Deltoides lateral
Curl Martillo con Mancuernas,Semilla Gym,Mancuernas,"De pie con mancuernas a los lados y palmas viendose entre si (agarre
  neutro). Flexiona los codos subiendo las mancuernas sin girar las muñecas.
  Baja con control.","Manten los codos fijos. Este agarre trabaja mas el braquial y el
  antebrazo.",3 series de 10-12 reps,video,"Biceps, Braquial, Antebrazo"
Fondos en Maquina Asistida,Semilla Gym,Maquina de fondos asistidos,"Sube a la maquina y apoya las rodillas en la plataforma. Sujeta las
  barras y baja el cuerpo doblando los codos hasta 90 grados. Empuja para
  subir.","Ajusta el contrapeso segun tu nivel. Conforme ganes fuerza reduce la
  asistencia.",3 series de 8-10 reps,video,"Triceps, Pecho inferior, Deltoides"
Press de Banca con Mancuernas,Semilla Gym,Banco plano + Mancuernas,"Acuestate en el banco con una mancuerna en cada mano a la altura del
  pecho. Empuja hacia arriba extendiendo los brazos y baja con control hasta
  que los codos queden a 90 grados.","Las mancuernas permiten mayor rango de movimiento que la barra. Baja
  hasta sentir estiramiento en el pecho.",4 series de 8-10 reps,video,"Pectorales, Triceps, Deltoides frontal"
Remo en Maquina,Semilla Gym,Maquina de remo sentado,"Sientate en la maquina con el pecho apoyado en el coji­n. Agarra las
  manijas y tira hacia atras apretando los omoplatos. Regresa con control.","Saca pecho y manten la espalda erguida. Aprieta la espalda 1 segundo al
  final.",4 series de 10-12 reps,video,"Dorsales, Romboides, Biceps"
Press Arnold con Mancuernas,Semilla Gym,Banco a 90° + Mancuernas,"Sientate con las mancuernas frente al pecho y las palmas hacia ti. Empuja
  hacia arriba girando las palmas hacia afuera durante la subida. Regresa
  invirtiendo el giro.","El giro activa las tres cabezas del deltoides. Usa peso moderado para
  controlar el movimiento.",3 series de 10-12 reps,video,"Deltoides (anterior, lateral, posterior)"
Curl con Barra Z,Semilla Gym,Barra Z,"De pie sujeta la barra Z con agarre supino en las curvas de la barra.
  Flexiona los codos subiendo la barra hacia los hombros. Baja con control.",La barra Z reduce la tensión en las muñecas. No balancees el cuerpo.,3 series de 10-12 reps,video,"Biceps, Antebrazo"
Press Frances con Mancuerna,Semilla Gym,Banco plano + Mancuerna,"Acuestate en el banco con una mancuerna sujeta con ambas manos sobre la
  cabeza. Baja la mancuerna detras de la cabeza flexionando los codos. Extiende
  para subir.",Manten los codos apuntando al techo y fijos. Solo mueve los antebrazos.,3 series de 10-12 reps,video,Triceps
Sentadilla con Barra,Semilla Gym,Rack + Barra,"Coloca la barra sobre los trapecios. Pies a la anchura de los hombros.
  Baja flexionando rodillas y cadera como si te sentaras. Manten la espalda
  recta y sube empujando con los talones.","Mira al frente. Las rodillas van en dirección a los pies. Baja al menos
  hasta paralelo.",4 series de 8-10 reps,video,"Cuadriceps, Glueos, Isquiotibiales"
Prensa de Piernas,Semilla Gym,Maquina prensa de piernas,"Sientate en la maquina con los pies en la plataforma a la anchura de los
  hombros. Suelta los seguros y baja la plataforma flexionando las rodillas
  hasta 90 grados. Empuja para subir.","No bloquees completamente las rodillas arriba. Manten la espalda baja
  pegada al respaldo.",4 series de 10-12 reps,video,"Cuadriceps, Gluteos"
Curl Femoral en Maquina,Semilla Gym,Maquina curl femoral acostado,"Acuestate boca abajo en la maquina con los tobillos bajo el cojin.
  Flexiona las rodillas llevando los talones hacia los gluteos. Baja con
  control.","No levantes la cadera del banco. Aprieta los isquiotibiales arriba 1
  segundo.",4 series de 10-12 reps,video,Isquiotibiales
Extensión de Cuadriceps en Maquina,Semilla Gym,Maquina extensión de cuadriceps,"Sientate en la maquina con los tobillos bajo el coji­n. Extiende las
  rodillas subiendo el peso hasta que las piernas queden rectas. Baja con
  control.","No uses impulso. Aprieta los cuadriceps arriba 1 segundo. Baja lento (3
  segundos).",3 series de 12-15 reps,video,Cuadriceps
