Ejercicios,Nivel,Equipo,Instrucciones,Consejo Pro,Repeticiones/Tiempo,Video Ejemplo,Musculos
Fondos de Tríceps (en paralelas),Semilla,Barras Paralelas bajas,Sujeta las barras con los brazos extendidos. Pies estirados al frente apoyados en el suelo. Baja la cadera doblando los codos hacia atrás y empuja para subir.,No bajes demasiado si sientes tensión en el hombro frontal. Mantén los codos apuntando hacia atrás.,3 series de 10 reps,video,"Tríceps, Pecho inferior"
Puente de Glúteo,Semilla,N/A,Acuéstate boca arriba con las rodillas flexionadas y los pies apoyados en el suelo. Empuja la cadera hacia arriba apretando los glúteos con fuerza y baja con control.,Aprieta los glúteos arriba durante 2 segundos antes de bajar. No arquees la espalda baja.,3 series de 12-15 reps,video,"Glúteos, Isquiotibiales"
Zancada Reversa,Semilla,N/A,De pie con los pies juntos. Da un paso largo hacia atrás con una pierna y baja la rodilla trasera casi hasta el suelo. Empuja con la pierna delantera para volver a la posición inicial.,Mantén el torso erguido y la rodilla delantera alineada con el tobillo. No dejes que la rodilla pase la punta del pie.,3 series de 10 reps por pierna,video,"Cuádriceps, Glúteos, Isquiotibiales"
Elevación de Talones (de pie),Semilla,N/A,De pie con los pies a la anchura de la cadera. Sube elevando los talones lo más alto posible apretando las pantorrillas. Baja con control.,Haz una pausa de 2 segundos arriba para máxima contracción. Puedes apoyarte en la pared para equilibrio.,3 series de 15-20 reps,video,Pantorrillas (Gemelos y Sóleo)
Sentadilla Sumo,Semilla,N/A,Pies más abiertos que los hombros con las puntas hacia afuera. Baja la cadera manteniendo la espalda recta y las rodillas en dirección a los pies. Sube apretando glúteos.,Saca pecho y mantén el peso distribuido en toda la planta del pie. Baja hasta que los muslos queden paralelos al suelo.,3 series de 10-12 reps,video,"Aductores, Glúteos, Cuádriceps"
Sentadilla con Pausa,Semilla,N/A,Realiza una sentadilla normal pero mantén la posición baja durante 3 segundos antes de subir. Mantén la espalda recta y el abdomen apretado.,La pausa elimina el impulso y obliga al músculo a trabajar más. No rebotes al subir.,3 series de 8-10 reps,video,"Cuádriceps, Glúteos"
Zancada Caminando,Semilla,N/A,Da un paso largo al frente y baja la rodilla trasera casi al suelo. Empuja con la pierna delantera y avanza con la otra pierna repitiendo el movimiento.,Mantén el torso recto y la mirada al frente. Cada paso debe ser controlado sin perder el equilibrio.,3 series de 10 pasos por pierna,video,"Cuádriceps, Glúteos, Isquiotibiales"
Puente de Glúteo a Una Pierna,Semilla,N/A,Acuéstate boca arriba con una rodilla flexionada y el pie en el suelo. Extiende la otra pierna hacia arriba. Empuja la cadera hacia arriba con la pierna apoyada.,Aprieta el glúteo arriba y mantén la cadera nivelada. No dejes que la cadera se incline hacia un lado.,3 series de 10 reps por pierna,video,"Glúteos, Isquiotibiales, Core"
Sentadilla Búlgara Asistida,Semilla,Silla o superficie elevada,Coloca el empeine de un pie sobre una silla detrás de ti. Baja flexionando la rodilla delantera hasta que el muslo quede paralelo al suelo. Apóyate en la pared si necesitas equilibrio.,Mantén el torso erguido y la rodilla delantera alineada con el pie. La pierna trasera solo sirve de apoyo.,3 series de 8 reps por pierna,video,"Cuádriceps, Glúteos"
Wall Sit (sentadilla en pared),Semilla,Muro,Apoya la espalda contra la pared y baja hasta que tus muslos queden paralelos al suelo formando 90 grados con las rodillas. Mantén la posición.,Empuja la espalda baja contra la pared. No apoyes las manos en los muslos.,3 series de 30-45 seg,video,"Cuádriceps, Glúteos"
Sentadilla Cosaca Asistida,Semilla,Muro o poste para sujetarse,Pies muy abiertos. Baja hacia un lado flexionando una rodilla mientras la otra pierna se extiende recta. Sujétate de la pared o un poste para mantener el equilibrio.,Mantén el talón de la pierna que se flexiona pegado al suelo. Ve bajando más conforme ganes flexibilidad.,3 series de 6-8 reps por pierna,video,"Aductores, Cuádriceps, Glúteos"
Step-Up (en silla baja),Semilla,Silla baja o escalón,Coloca un pie sobre la silla y empuja con esa pierna para subir todo el cuerpo. Baja con control con la otra pierna.,Empuja solo con la pierna de arriba sin impulsarte con la de abajo. Mantén el torso erguido.,3 series de 10 reps por pierna,video,"Cuádriceps, Glúteos"
Peso Muerto a Una Pierna (sin peso),Semilla,N/A,De pie sobre una pierna. Inclina el torso hacia adelante mientras la pierna libre se extiende hacia atrás. Baja hasta que el torso quede paralelo al suelo y sube con control.,Mantén la espalda recta en todo momento. Mira un punto fijo en el suelo para mejor equilibrio.,3 series de 8 reps por pierna,video,"Isquiotibiales, Glúteos, Core"
Zancada Lateral,Semilla,N/A,De pie con los pies juntos. Da un paso amplio hacia un lado flexionando esa rodilla mientras la otra pierna queda extendida. Empuja para regresar al centro.,Mantén el peso en el talón de la pierna que se flexiona. No dejes que la rodilla pase la punta del pie.,3 series de 10 reps por lado,video,"Aductores, Cuádriceps, Glúteos"
Elevación de Talones a Una Pierna,Semilla,Muro para equilibrio,De pie sobre una pierna apoyándote en la pared. Sube el talón lo más alto posible apretando la pantorrilla. Baja con control.,Haz pausa de 2 segundos arriba. Baja el talón completamente para rango completo.,3 series de 12-15 reps por pierna,video,Pantorrillas (Gemelos y Sóleo)
Flexiones Diamante,Pino,N/A,Coloca las manos en el suelo formando un diamante con los pulgares e índices. Baja el pecho hasta las manos y empuja para subir manteniendo el cuerpo recto.,Mantén los codos pegados al cuerpo. Si es muy difícil hazlas en rodillas primero.,4 series de 6-10 reps,video,"Tríceps, Pecho interior, Deltoides"
Remo con Liga (agarre amplio),Pino,Barra para Ligas + Banda,Siéntate frente a la barra con piernas extendidas. Pasa la liga por la barra y sujeta los extremos con agarre amplio y palmas hacia abajo. Tira hacia el pecho abriendo los codos.,Aprieta los omóplatos al final. El agarre amplio enfatiza más la espalda alta y el deltoides posterior.,4 series de 10-12 reps,video,"Trapecio, Deltoides posterior, Romboides"
Press de Hombro con Liga (de pie),Pino,Barra para Ligas + Banda,De pie pisando la liga. Sujeta los extremos a la altura de los hombros. Empuja hacia arriba extendiendo completamente los brazos y baja con control hasta los hombros.,Aprieta el abdomen para no arquear la espalda. Extiende completamente los brazos arriba.,4 series de 8-12 reps,video,"Deltoides, Tríceps, Trapecio"
L-Sit (piernas extendidas),Pino,Barras Paralelas bajas,Siéntate entre las barras con manos en las barras y brazos rectos. Levanta la cadera y extiende las piernas completamente al frente formando una L.,Empuja las barras hacia abajo con fuerza. Activa los cuádriceps para mantener las piernas rectas y arriba.,4 series de 10-20 seg,video,"Abdominales, Flexores de cadera, Tríceps"
Flexiones en Paralelas (rango completo),Pino,Barras Paralelas bajas,Manos en las barras en posición de plancha. Baja el pecho por debajo del nivel de las barras aprovechando el rango extra que dan las paralelas. Sube con fuerza.,Baja lento (3 segundos) y sube explosivo. El rango extra activa más fibras del pecho.,4 series de 8-12 reps,video,"Pectorales, Tríceps, Deltoides"
Flexiones Archer Asistidas,Pino,N/A,En posición de flexión con las manos más abiertas que los hombros. Baja hacia un lado doblando un codo mientras el otro brazo se extiende. Empuja para subir y alterna.,El brazo extendido puede tener los dedos apoyados para asistencia. Baja el pecho hacia la mano que se flexiona.,4 series de 5-8 reps por lado,video,"Pectorales, Tríceps, Deltoides"
Dominadas Australianas (en barra baja),Pino,Barra baja o barra de dominadas baja,Acuéstate debajo de la barra y sujétala con agarre prono. Cuerpo recto como tabla con los talones en el suelo. Tira del pecho hacia la barra y baja con control.,Aprieta los omóplatos al subir. Cuanto más horizontal esté tu cuerpo más difícil será.,4 series de 8-12 reps,video,"Espalda (Dorsales), Bíceps, Romboides"
Fondos Profundos en Paralelas,Pino,Barras Paralelas bajas,Sujeta las barras con brazos extendidos. Baja el cuerpo doblando los codos hasta que los hombros queden por debajo de los codos. Empuja para subir.,Inclina el torso ligeramente al frente para más activación de pecho. Si sientes dolor en el hombro no bajes tanto.,4 series de 6-10 reps,video,"Pecho, Tríceps, Deltoides frontal"
Pike Push-ups (en paralelas),Pino,Barras Paralelas bajas,Manos en las barras en posición de plancha. Sube la cadera formando una V invertida. Baja la cabeza entre las barras doblando los codos y empuja para subir.,Cuanto más cerca estén los pies de las manos más difícil será. Mira hacia las barras al bajar.,4 series de 6-10 reps,video,"Deltoides, Tríceps, Trapecio"
Pike Push-ups Elevados,Pino,Barras Paralelas bajas + silla,Manos en las barras y pies elevados sobre una silla. Sube la cadera formando una V invertida pronunciada. Baja la cabeza entre las barras y empuja.,La elevación de pies aumenta la carga en los hombros. Excelente preparación para handstand push-ups.,4 series de 5-8 reps,video,"Deltoides, Tríceps, Trapecio superior"
Remo con Liga (agarre cerrado),Pino,Barra para Ligas + Banda,Siéntate frente a la barra con piernas extendidas. Pasa la liga y sujeta ambos extremos juntos con las dos manos. Tira hacia el ombligo con los codos muy pegados al cuerpo.,Aprieta fuerte la espalda al final del movimiento. El agarre cerrado enfatiza más los dorsales y bíceps.,4 series de 10-12 reps,video,"Dorsales, Bíceps, Romboides"
Fondos en Paralelas,Pino,Barras Paralelas bajas,Sujeta las barras con los brazos extendidos y las piernas estiradas al frente o cruzadas. Baja doblando los codos hasta 90 grados y empuja para subir.,Mantén los codos apuntando hacia atrás. Controla la bajada sin dejarte caer.,4 series de 8-12 reps,video,"Tríceps, Pecho inferior, Deltoides"
Sentadilla Búlgara,Pino,Silla o superficie elevada,Coloca el empeine de un pie sobre una silla detrás de ti. Baja flexionando la rodilla delantera hasta que el muslo quede paralelo al suelo. Sube con fuerza.,Mantén el torso erguido. Puedes inclinar ligeramente el torso para más activación de glúteo.,4 series de 8-10 reps por pierna,video,"Cuádriceps, Glúteos, Isquiotibiales"
Peso Muerto Rumano a Una Pierna,Pino,N/A,De pie sobre una pierna con rodilla ligeramente flexionada. Inclina el torso hacia adelante con la espalda recta mientras la pierna libre se extiende atrás. Regresa apretando glúteo e isquiotibial.,Siente el estiramiento en el isquiotibial de la pierna de apoyo. No redondees la espalda.,4 series de 8-10 reps por pierna,video,"Isquiotibiales, Glúteos, Core"
Sentadilla con Salto,Pino,N/A,Realiza una sentadilla normal y al subir explota saltando lo más alto posible. Aterriza suave con las rodillas ligeramente flexionadas y repite.,Aterriza siempre con la punta de los pies primero y luego los talones. Amortigua bien cada salto.,4 series de 8-10 reps,video,"Cuádriceps, Glúteos, Pantorrillas"
Puente de Glúteo Elevado (pies en silla),Pino,Silla,Acuéstate boca arriba con los pies apoyados sobre una silla. Empuja la cadera hacia arriba apretando los glúteos con fuerza. Baja con control.,La elevación de pies aumenta el rango de movimiento y la dificultad. Aprieta 2 segundos arriba.,4 series de 12-15 reps,video,"Glúteos, Isquiotibiales"
Elevación de Talones con Pausa,Pino,N/A,De pie con los pies a la anchura de la cadera. Sube los talones apretando las pantorrillas. Mantén arriba 3 segundos y baja lento (3 segundos).,El tempo lento aumenta el tiempo bajo tensión. Puedes hacerlo en el borde de un escalón para más rango.,4 series de 12-15 reps,video,Pantorrillas (Gemelos y Sóleo)
Sentadilla Cosaca,Pino,N/A,Pies muy abiertos. Baja hacia un lado flexionando una rodilla mientras la otra pierna se extiende recta con el pie apuntando arriba. Sube y alterna.,Mantén el talón pegado al suelo y el torso erguido. Si puedes baja hasta que el glúteo toque el talón.,4 series de 6-8 reps por pierna,video,"Aductores, Cuádriceps, Glúteos"
Zancada con Salto Alternada,Pino,N/A,En posición de zancada baja salta explosivamente intercambiando las piernas en el aire. Aterriza suave en posición de zancada con la otra pierna al frente.,Aterriza con control. Usa los brazos para impulsar el salto. Mantén el torso erguido.,4 series de 8 reps por pierna,video,"Cuádriceps, Glúteos, Pantorrillas"
Hip Thrust a Una Pierna (en silla),Pino,Silla,Siéntate en el suelo con la espalda alta apoyada en una silla. Un pie en el suelo y la otra pierna extendida. Empuja la cadera hacia arriba con la pierna apoyada.,Aprieta el glúteo arriba y mantén la cadera nivelada. Baja con control sin tocar el suelo.,4 series de 10 reps por pierna,video,"Glúteos, Isquiotibiales, Core"
Step-Up Alto (en silla),Pino,Silla firme,Coloca un pie sobre una silla firme y alta. Empuja con esa pierna para subir todo el cuerpo sin impulsarte con la pierna de abajo. Baja con control.,La silla debe ser estable. Empuja solo con la pierna de arriba. Mantén el torso recto.,4 series de 8-10 reps por pierna,video,"Cuádriceps, Glúteos"
Wall Sit con Una Pierna,Pino,Muro,Apoya la espalda contra la pared en posición de sentadilla a 90 grados. Levanta un pie del suelo y mantén la posición solo con una pierna.,Aprieta el cuádriceps con fuerza. Si es muy difícil empieza con ángulo mayor a 90 grados.,4 series de 15-25 seg por pierna,video,"Cuádriceps, Glúteos, Core"
Pistol Squat Asistida (con liga),Pino,Barra para Ligas + Banda,Sujeta una liga atada a la barra a la altura del pecho. Extiende una pierna al frente y baja con la otra haciendo sentadilla completa. Usa la liga para asistir la subida.,La liga ayuda en la parte más difícil (abajo). Conforme ganes fuerza usa ligas más delgadas.,4 series de 4-6 reps por pierna,video,"Cuádriceps, Glúteos, Core"
Curl Nórdico Asistido (con liga),Pino,Barra baja + Banda,Arrodíllate con los pies anclados bajo la barra baja. Ata una liga a la barra y sujétala al pecho. Baja el torso lentamente hacia el suelo resistiendo la caída.,Baja lo más lento que puedas (5 segundos). La liga asiste la subida. Excelente para isquiotibiales.,4 series de 4-6 reps,video,"Isquiotibiales, Glúteos"
Sentadilla Sissy Asistida,Pino,Muro o poste para sujetarse,De pie sujetándote de la pared. Inclínate hacia atrás flexionando las rodillas mientras te pones de puntillas. Baja las rodillas hacia adelante y sube con control.,Mantén la cadera extendida (no te sientes). Siente el estiramiento profundo en los cuádriceps.,4 series de 6-8 reps,video,"Cuádriceps, Recto femoral"
Zancada Búlgara con Pausa,Pino,Silla o superficie elevada,Igual que la sentadilla búlgara pero mantén la posición baja durante 3 segundos antes de subir. El pie trasero apoyado en la silla.,La pausa elimina el impulso y obliga al músculo a trabajar más. Mantén la tensión constante.,4 series de 6-8 reps por pierna,video,"Cuádriceps, Glúteos, Isquiotibiales"
Salto al Cajón (en silla firme),Pino,Silla firme y estable,De pie frente a una silla estable. Flexiona rodillas y salta aterrizando con ambos pies sobre la silla. Baja con cuidado paso a paso.,Asegúrate de que la silla sea muy estable. Aterriza suave con las rodillas flexionadas. Baja caminando no saltando.,4 series de 6-8 reps,video,"Cuádriceps, Glúteos, Pantorrillas"
